,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
19,Agente,EPMC,940960.81,917848.26,903507.02,915573.42,1003833.21,1139666.85,1211252.67,1294013.39,1361196.8,1390794.98,1480023.92,1502157.31,1485634.25,1458976.4,1466610.02,1451938.95,1423863.37,1417993.32,1520974.46,1523215.78,1451651.85,1291862.03,1153011.53,1080245.8,2015-01-20
20,Agente,EPMC,967191.88,932176.59,928565.94,944288.48,1017720.9,1145410.29,1234415.8,1272399.16,1335844.77,1390978.59,1438063.2,1467760.47,1441846.33,1421737.15,1415622.09,1418386.87,1400092.56,1410419.45,1519028.43,1497478.38,1420481.47,1255801.64,1133229.86,1014093.02,2015-01-21
21,Agente,EPMC,945316.73,935622.18,910954.31,916917.9,1000028.45,1121950.91,1211937.83,1271170.97,1334287.9,1398062.08,1445292.84,1487446.86,1449290.6,1435916.95,1405999.29,1412219.8,1447245.36,1419319.01,1548416.84,1479590.24,1385266.57,1235655.64,1090898.94,990993.1,2015-01-22
22,Agente,EPMC,929093.71,909303.33,918947.73,921756.54,988404.91,1125461.53,1210122.1,1281096.39,1346792.55,1379033.47,1437791.74,1473291.36,1446053.72,1409163.56,1411101.03,1419318.96,1398595.08,1373730.58,1486898.85,1480590.63,1373672.15,1245004.96,1120545.11,1041768.55,2015-01-23
23,Agente,EPMC,955393.24,934769.91,912270.82,918951.06,966938.39,1029384.86,1081213.37,1182583.47,1283590.67,1344561.86,1389312.74,1405636.47,1386617.65,1341854.79,1318541.03,1299549.23,1290244.75,1270910.07,1400623.69,1415687.88,1336826.72,1199119.54,1089619.47,963937.5,2015-01-24
24,Agente,EPMC,940914.13,903363.48,869416.41,859828.07,863655.28,872622.95,887428.28,937493.41,1034300.94,1106275.26,1144920.95,1178818.63,1196978.25,1165355.81,1125518.86,1100672.67,1075789.56,1079649.82,1249864.96,1272972.78,1228639.58,1143973.42,1071290.88,981447.12,2015-01-25
25,Agente,EPMC,904431.62,889751.8,884337.21,898524.46,984129.11,1125010.61,1194789.79,1272473.57,1340126.13,1406852.61,1479690.99,1505583.49,1473510.5,1461689.01,1460535.65,1469246.91,1435713.3,1424032.72,1530985.56,1520596.41,1425635.64,1298492.89,1132268.68,1006711.93,2015-01-26
26,Agente,EPMC,954326.99,914925.61,910763.08,924706.1,995113.81,1145436.98,1210174.72,1277561.71,1359061.45,1410367.79,1456986.58,1473800.04,1416382.96,1415249.27,1403941.31,1407445.11,1408140.65,1398951.53,1505673.07,1508407.41,1407972.96,1253428.35,1127830.71,999553.19,2015-01-27
27,Agente,EPMC,978084.79,944831.73,930491.42,952890.88,1008813.33,1163103.18,1218889.67,1296979.6,1367470.07,1420419.24,1485905.34,1509084.8,1474197.43,1446605.96,1449265.4,1427086.61,1410921.43,1405195.24,1536345.65,1529263.53,1427383.6,1283506.19,1139541.74,1046368.59,2015-01-28
28,Agente,EPMC,985171.69,917071.28,887244.62,881208.87,938527.73,1129738.84,1192383.54,1246744.26,1315468.86,1367617.08,1446240.9,1473395.87,1456347.33,1429952.92,1459408.47,1457047.61,1435603.99,1390349.79,1501804.27,1501053.12,1418659.87,1271199.22,1111531.39,1029772.58,2015-01-29
29,Agente,EPMC,990369.15,955414.36,940858.01,962772.56,1032194.07,1183945.46,1262443.48,1323627.01,1407675.3,1473694.91,1534647.46,1571445.32,1528245.98,1503999.31,1513112.39,1504243.79,1468712.37,1433655.25,1518532.47,1498913.76,1406547.94,1280978.56,1163227.52,1093345.78,2015-01-30
