fecha,region,consumo,mes,dia_semana,fin_de_semana,temperatura
2018-03-27,Antioquia,26.72500536,3,2,0,20.160416666666666
2018-03-28,Antioquia,26.09144331,3,3,0,20.420833333333334
2018-03-29,Antioquia,21.33025666,3,4,0,19.025000000000002
2018-03-30,Antioquia,19.5348269,3,5,0,19.67659574468085
2018-03-31,Antioquia,21.46653309,3,6,1,19.160416666666666
2018-04-01,Antioquia,20.54314362,4,7,1,18.733333333333334
2018-04-02,Antioquia,26.00512021,4,1,0,18.317021276595746
2018-04-03,Antioquia,26.62275475,4,2,0,18.845833333333335
2018-04-04,Antioquia,26.87115698,4,3,0,19.45
2018-04-05,Antioquia,26.75296392,4,4,0,19.310416666666665
2018-04-06,Antioquia,26.13733002,4,5,0,18.070833333333333
2018-04-07,Antioquia,25.14983035,4,6,1,19.7375
2018-04-08,Antioquia,21.78755514,4,7,1,20.55625
2018-04-09,Antioquia,26.98246022,4,1,0,20.193617021276598
2018-04-10,Antioquia,27.07977932,4,2,0,18.864583333333332
2018-04-11,Antioquia,27.09086419,4,3,0,18.925
2018-04-12,Antioquia,26.66695815,4,4,0,18.539583333333333
2018-04-13,Antioquia,26.68293408,4,5,0,19.029166666666665
2018-04-14,Antioquia,25.06208321,4,6,1,19.329166666666666
2018-04-15,Antioquia,21.85708855,4,7,1,19.685416666666665
2018-04-16,Antioquia,26.54753145,4,1,0,20.175
2018-04-17,Antioquia,26.58674149,4,2,0,19.681250000000002
2018-04-18,Antioquia,27.05829755,4,3,0,20.360416666666666
2018-04-19,Antioquia,27.17121061,4,4,0,21.879166666666666
2018-04-20,Antioquia,27.0378671,4,5,0,21.075
2018-04-21,Antioquia,25.88595342,4,6,1,21.233333333333334
2018-04-22,Antioquia,22.15987294,4,7,1,20.404255319148938
2018-04-23,Antioquia,27.50265039,4,1,0,21.045833333333334
2018-04-24,Antioquia,27.73261434,4,2,0,20.83243243243243
2018-04-25,Antioquia,27.81828255,4,3,0,20.111428571428572
2018-04-26,Antioquia,27.75972793,4,4,0,20.142500000000002
2018-04-27,Antioquia,27.25229665,4,5,0,19.089583333333334
2018-04-28,Antioquia,25.61693062,4,6,1,18.762162162162163
2018-04-29,Antioquia,22.14305718,4,7,1,18.200000000000003
2018-04-30,Antioquia,26.5121699799999,4,1,0,20.1475
2018-05-01,Antioquia,22.33142454,5,2,0,19.645833333333332
2018-05-02,Antioquia,26.64213826,5,3,0,20.866666666666667
2018-05-03,Antioquia,26.87469854,5,4,0,20.141666666666666
2018-05-04,Antioquia,26.94001881,5,5,0,18.693749999999998
2018-05-05,Antioquia,25.51015894,5,6,1,18.45263157894737
2018-05-06,Antioquia,21.92240474,5,7,1,19.026666666666667
2018-05-07,Antioquia,26.54902391,5,1,0,18.8875
2018-05-08,Antioquia,27.02143203,5,2,0,18.585106382978722
2018-05-09,Antioquia,26.36699996,5,3,0,18.684444444444445
2018-05-10,Antioquia,26.7111545,5,4,0,18.868750000000002
2018-05-11,Antioquia,26.68101257,5,5,0,18.793333333333333
2018-05-12,Antioquia,25.00305016,5,6,1,19.59375
2018-05-13,Antioquia,20.3166648,5,7,1,18.766666666666666
2018-05-14,Antioquia,21.08920511,5,1,0,18.256249999999998
2018-05-15,Antioquia,25.96459289,5,2,0,18.806250000000002
2018-05-16,Antioquia,26.89388913,5,3,0,19.53617021276596
2018-05-17,Antioquia,27.29066131,5,4,0,20.925
2018-05-18,Antioquia,27.13830565,5,5,0,20.23125
2018-05-19,Antioquia,25.36476182,5,6,1,19.1375
2018-05-20,Antioquia,21.6982303,5,7,1,18.695833333333333
2018-05-21,Antioquia,26.25749909,5,1,0,18.931250000000002
2018-05-22,Antioquia,26.81529348,5,2,0,20.122916666666665
2018-05-23,Antioquia,26.83211993,5,3,0,20.385416666666668
2018-05-24,Antioquia,27.37349507,5,4,0,21.527083333333334
2018-05-25,Antioquia,27.50682392,5,5,0,21.808333333333334
2018-05-26,Antioquia,25.24610581,5,6,1,18.904166666666665
2018-05-27,Antioquia,21.38580792,5,7,1,20.318749999999998
2018-05-28,Antioquia,26.41846815,5,1,0,19.695833333333333
2018-05-29,Antioquia,26.91910069,5,2,0,20.745833333333334
2018-05-30,Antioquia,26.67461637,5,3,0,19.614583333333332
2018-05-31,Antioquia,27.2731756,5,4,0,21.320833333333333
2018-06-01,Antioquia,26.43828664,6,5,0,19.162499999999998
2018-06-02,Antioquia,24.52844638,6,6,1,20.520833333333332
2018-06-03,Antioquia,21.15530531,6,7,1,20.675
2018-06-04,Antioquia,21.92333585,6,1,0,21.712500000000002
2018-06-05,Antioquia,27.07259018,6,2,0,21.366666666666664
2018-06-06,Antioquia,27.56134703,6,3,0,21.279166666666665
2018-06-07,Antioquia,27.69723909,6,4,0,21.368750000000002
2018-06-08,Antioquia,27.99208047,6,5,0,22.15833333333333
2018-06-09,Antioquia,25.7385398,6,6,1,22.608333333333334
2018-06-10,Antioquia,21.40708076,6,7,1,21.420833333333334
2018-06-11,Antioquia,21.81802713,6,1,0,20.8
2018-06-12,Antioquia,26.71002426,6,2,0,21.006249999999998
2018-06-13,Antioquia,27.35793653,6,3,0,21.864583333333332
2018-06-14,Antioquia,27.08883414,6,4,0,19.631249999999998
2018-06-15,Antioquia,27.326569,6,5,0,20.349999999999998
2018-06-16,Antioquia,25.3274506,6,6,1,21.65416666666667
2018-06-17,Antioquia,21.78753272,6,7,1,22.197916666666668
2018-06-18,Antioquia,27.09598815,6,1,0,21.97948717948718
2018-06-19,Antioquia,27.17643339,6,2,0,22.629166666666666
2018-06-20,Antioquia,27.27475528,6,3,0,20.472916666666666
